Cidade,Faixa_Etaria,Genero,KPI_Volume_Demanda,KPI_Taxa_Conversao,KPI_Score_Propensao
ALTAIR,22-25 ANOS,MASCULINO,40.0,0.8,0.7346
ALTAIR,26-30 ANOS,FEMININO,22.0,0.5116,0.4422
ALTAIR,26-30 ANOS,MASCULINO,29.0,0.537,0.4674
ALTAIR,31-40 ANOS,FEMININO,24.0,0.2286,0.1585
ALTAIR,31-40 ANOS,MASCULINO,31.0,0.337,0.2594
ALTAIR,41-50 ANOS,FEMININO,9.0,0.1084,0.0716
ALTAIR,41-50 ANOS,MASCULINO,7.0,0.0909,0.0747
ALTAIR,51-60 ANOS,FEMININO,4.0,0.0755,0.0578
ALTAIR,51-60 ANOS,MASCULINO,3.0,0.075,0.055
ALTAIR,61-70 ANOS,FEMININO,1.0,0.0357,0.027
ALTAIR,61-70 ANOS,MASCULINO,1.0,0.0238,0.0216
ALTAIR,71-80 ANOS,FEMININO,0.0,0.0,0.0
ALTAIR,71-80 ANOS,MASCULINO,0.0,0.0,0.0013
ALTAIR,81-90 ANOS,FEMININO,0.0,0.0,0.0001
ALTAIR,81-90 ANOS,MASCULINO,0.0,0.0,0.0
ALTAIR,91-100 ANOS,MASCULINO,0.0,0.0,0.0
ALTINOPOLIS,101-120 ANOS,FEMININO,0.0,0.0,0.0
ALTINOPOLIS,101-120 ANOS,MASCULINO,0.0,0.0,0.0
ALTINOPOLIS,18-21 ANOS,FEMININO,50.0,0.4274,0.478
ALTINOPOLIS,18-21 ANOS,MASCULINO,76.0,0.4634,0.5426
ALTINOPOLIS,22-25 ANOS,FEMININO,65.0,0.2928,0.3357
ALTINOPOLIS,22-25 ANOS,MASCULINO,79.0,0.3027,0.3632
ALTINOPOLIS,26-30 ANOS,FEMININO,40.0,0.101,0.1463
ALTINOPOLIS,26-30 ANOS,MASCULINO,44.0,0.1065,0.1602
ALTINOPOLIS,31-40 ANOS,FEMININO,38.0,0.0436,0.0825
ALTINOPOLIS,31-40 ANOS,MASCULINO,32.0,0.0436,0.1257
ALTINOPOLIS,41-50 ANOS,FEMININO,18.0,0.0218,0.0413
ALTINOPOLIS,41-50 ANOS,MASCULINO,23.0,0.0379,0.0508
ALTINOPOLIS,51-60 ANOS,FEMININO,9.0,0.018,0.0318
ALTINOPOLIS,51-60 ANOS,MASCULINO,15.0,0.0417,0.0443
ALTINOPOLIS,61-70 ANOS,FEMININO,2.0,0.0062,0.014
ALTINOPOLIS,61-70 ANOS,MASCULINO,7.0,0.0182,0.0197
ALTINOPOLIS,71-80 ANOS,FEMININO,0.0,0.0,0.0001
ALTINOPOLIS,71-80 ANOS,MASCULINO,2.0,0.0061,0.0041
ALTINOPOLIS,81-90 ANOS,FEMININO,0.0,0.0,0.0
ALTINOPOLIS,81-90 ANOS,MASCULINO,0.0,0.0,0.0
ALTINOPOLIS,91-100 ANOS,FEMININO,0.0,0.0,0.0
ALTINOPOLIS,91-100 ANOS,MASCULINO,0.0,0.0,0.0
ALTO ALEGRE,101-120 ANOS,MASCULINO,0.0,0.0,0.0
ALTO ALEGRE,18-21 ANOS,FEMININO,10.0,0.3448,0.3876
ALTO ALEGRE,18-21 ANOS,MASCULINO,17.0,0.4722,0.481
ALTO ALEGRE,22-25 ANOS,FEMININO,7.0,0.1373,0.1749
ALTO ALEGRE,22-25 ANOS,MASCULINO,10.0,0.1923,0.1975
ALTO ALEGRE,26-30 ANOS,FEMININO,2.0,0.0339,0.0572
ALTO ALEGRE,26-30 ANOS,MASCULINO,2.0,0.022,0.0615
ALTO ALEGRE,31-40 ANOS,FEMININO,2.0,0.0135,0.0358
ALTO ALEGRE,31-40 ANOS,MASCULINO,6.0,0.0476,0.0714
ALTO ALEGRE,41-50 ANOS,FEMININO,1.0,0.0065,0.0198
ALTO ALEGRE,41-50 ANOS,MASCULINO,0.0,0.0,0.018
ALTO ALEGRE,51-60 ANOS,FEMININO,1.0,0.0104,0.0163
ALTO ALEGRE,51-60 ANOS,MASCULINO,2.0,0.0227,0.0321
ALTO ALEGRE,61-70 ANOS,FEMININO,0.0,0.0,0.0039
ALTO ALEGRE,61-70 ANOS,MASCULINO,2.0,0.0187,0.0189
ALTO ALEGRE,71-80 ANOS,FEMININO,0.0,0.0,0.0
ALTO ALEGRE,71-80 ANOS,MASCULINO,0.0,0.0,0.0021
ALTO ALEGRE,81-90 ANOS,FEMININO,0.0,0.0,0.0
ALTO ALEGRE,81-90 ANOS,MASCULINO,0.0,0.0,0.0
ALTO ALEGRE,91-100 ANOS,FEMININO,0.0,0.0,0.0
ALTO ALEGRE,91-100 ANOS,MASCULINO,0.0,0.0,0.0
ALUMINIO,18-21 ANOS,FEMININO,91.0,0.6791,0.6496
ALUMINIO,18-21 ANOS,MASCULINO,157.0,0.7512,0.6924
ALUMINIO,22-25 ANOS,FEMININO,73.0,0.308,0.3166
ALUMINIO,22-25 ANOS,MASCULINO,128.0,0.4169,0.3637
ALUMINIO,26-30 ANOS,FEMININO,53.0,0.1626,0.1494
ALUMINIO,26-30 ANOS,MASCULINO,77.0,0.2021,0.1749
ALUMINIO,31-40 ANOS,FEMININO,63.0,0.0812,0.0661
ALUMINIO,31-40 ANOS,MASCULINO,130.0,0.1548,0.1296
ALUMINIO,41-50 ANOS,FEMININO,34.0,0.0451,0.0355
ALUMINIO,41-50 ANOS,MASCULINO,55.0,0.0782,0.0546
ALUMINIO,51-60 ANOS,FEMININO,13.0,0.03,0.0253
ALUMINIO,51-60 ANOS,MASCULINO,15.0,0.0288,0.0332
ALUMINIO,61-70 ANOS,FEMININO,0.0,0.0,0.0043
ALUMINIO,61-70 ANOS,MASCULINO,10.0,0.0307,0.0252
ALUMINIO,71-80 ANOS,FEMININO,0.0,0.0,0.0001
ALUMINIO,71-80 ANOS,MASCULINO,1.0,0.0052,0.0041
ALUMINIO,81-90 ANOS,FEMININO,0.0,0.0,0.0
ALUMINIO,81-90 ANOS,MASCULINO,0.0,0.0,0.0
ALUMINIO,91-100 ANOS,FEMININO,0.0,0.0,0.0
ALUMINIO,91-100 ANOS,MASCULINO,0.0,0.0,0.0
ALVARES FLORENCE,101-120 ANOS,MASCULINO,0.0,0.0,0.0
ALVARES FLORENCE,18-21 ANOS,FEMININO,13.0,1.0,0.914
